player,team,pos,scoring,points
Graham Mertz,HOU,QB,Half-PPR,7.2
Graham Mertz,HOU,QB,PPR,7.2
Irv Smith Jr.,HOU,TE,Standard,5.18
Irv Smith Jr.,HOU,TE,Half-PPR,7.18
Irv Smith Jr.,HOU,TE,PPR,9.18
Jordan Watkins,SF,WR,Standard,5.87
Jordan Watkins,SF,WR,Half-PPR,7.17
Jordan Watkins,SF,WR,PPR,8.47
Kyle McCord,PHI,QB,Standard,7.14
Kyle McCord,PHI,QB,Half-PPR,7.14
Kyle McCord,PHI,QB,PPR,7.14
Xavier Smith,LAR,WR,Standard,5.1
Xavier Smith,LAR,WR,Half-PPR,7.07
Xavier Smith,LAR,WR,PPR,9.05
Will Howard,PIT,QB,Standard,7.02
Will Howard,PIT,QB,Half-PPR,7.02
Will Howard,PIT,QB,PPR,7.02
Drew Lock,SEA,QB,Standard,6.91
Drew Lock,SEA,QB,Half-PPR,6.91
Drew Lock,SEA,QB,PPR,6.91
Kelvin Harmon,DAL,WR,Standard,5.16
Kelvin Harmon,DAL,WR,Half-PPR,6.91
Kelvin Harmon,DAL,WR,PPR,8.66
Chris Blair,ATL,WR,Standard,5.33
Chris Blair,ATL,WR,Half-PPR,6.88
Chris Blair,ATL,WR,PPR,8.43
DeeJay Dallas,ARI,RB,Standard,5.56
DeeJay Dallas,ARI,RB,Half-PPR,6.86
DeeJay Dallas,ARI,RB,PPR,8.16
Tommy Mellott,LV,WR,Standard,5.46
Tommy Mellott,LV,WR,Half-PPR,6.74
Tommy Mellott,LV,WR,PPR,8.02
Dominique Dafney,CAR,TE,Standard,4.73
Dominique Dafney,CAR,TE,Half-PPR,6.53
Dominique Dafney,CAR,TE,PPR,8.33
Zach Pascal,NYG,WR,Standard,5.02
Zach Pascal,NYG,WR,Half-PPR,6.52
Zach Pascal,NYG,WR,PPR,8.02
Ihmir Smith-Marsette,NYG,WR,Standard,4.71
Ihmir Smith-Marsette,NYG,WR,Half-PPR,6.44
Ihmir Smith-Marsette,NYG,WR,PPR,8.18
Miles Boykin,CHI,WR,Standard,4.81
Miles Boykin,CHI,WR,Half-PPR,6.41
Miles Boykin,CHI,WR,PPR,8.01
Stetson Bennett IV,LAR,QB,Standard,6.24
Stetson Bennett IV,LAR,QB,Half-PPR,6.24
Stetson Bennett IV,LAR,QB,PPR,6.24
Riley Leonard,IND,QB,Standard,6.12
Riley Leonard,IND,QB,Half-PPR,6.12
Riley Leonard,IND,QB,PPR,6.12
J.J. Taylor,HOU,RB,Standard,4.01
J.J. Taylor,HOU,RB,Half-PPR,6.11
J.J. Taylor,HOU,RB,PPR,8.21
Brycen Tremayne,CAR,WR,Standard,4.57
Brycen Tremayne,CAR,WR,Half-PPR,6.07
Brycen Tremayne,CAR,WR,PPR,7.57
Feleipe Franks,ATL,TE,Standard,3.99
Feleipe Franks,ATL,TE,Half-PPR,5.98
Feleipe Franks,ATL,TE,PPR,7.98
Desmond Ridder,CIN,QB,Standard,5.78
Desmond Ridder,CIN,QB,Half-PPR,5.78
Desmond Ridder,CIN,QB,PPR,5.78
Scott Matlock,LAC,RB,Standard,3.52
Scott Matlock,LAC,RB,Half-PPR,5.67
Scott Matlock,LAC,RB,PPR,7.82
Britain Covey,LAR,WR,Standard,4.67
Britain Covey,LAR,WR,Half-PPR,5.57
Britain Covey,LAR,WR,PPR,6.47
Jake Haener,NO,QB,Standard,5.56
Jake Haener,NO,QB,Half-PPR,5.56
Jake Haener,NO,QB,PPR,5.56
Sione Vaki,DET,RB,Standard,4.53
Sione Vaki,DET,RB,Half-PPR,5.5
Sione Vaki,DET,RB,PPR,6.48
Dee Eskridge,MIA,WR,Standard,4.04
Dee Eskridge,MIA,WR,Half-PPR,5.48
Dee Eskridge,MIA,WR,PPR,6.94
KeAndre Lambert-Smith,LAC,WR,Standard,3.32
KeAndre Lambert-Smith,LAC,WR,Half-PPR,5.17
KeAndre Lambert-Smith,LAC,WR,PPR,7.02
Troy Hairston II,CLE,RB,Standard,3.97
Troy Hairston II,CLE,RB,Half-PPR,5.12
Troy Hairston II,CLE,RB,PPR,6.27
Xavier Gipson,NYJ,WR,Standard,3.18
Xavier Gipson,NYJ,WR,Half-PPR,5.03
Xavier Gipson,NYJ,WR,PPR,6.88
Austin Trammell,JAC,WR,Standard,3.7
Austin Trammell,JAC,WR,Half-PPR,4.95
Austin Trammell,JAC,WR,PPR,6.2
Trey Lance,LAC,QB,Standard,4.89
Trey Lance,LAC,QB,Half-PPR,4.89
Trey Lance,LAC,QB,PPR,4.89
Zonovan Knight,NYJ,RB,Standard,3.73
Zonovan Knight,NYJ,RB,Half-PPR,4.83
Zonovan Knight,NYJ,RB,PPR,5.93
Ryan Flournoy,DAL,WR,Standard,2.19
Ryan Flournoy,DAL,WR,Half-PPR,4.76
Ryan Flournoy,DAL,WR,PPR,7.34
Elijah Dotson,ATL,RB,Standard,3.7
Elijah Dotson,ATL,RB,Half-PPR,4.7
Elijah Dotson,ATL,RB,PPR,5.7
Anthony Gould,IND,WR,Standard,3.29
Anthony Gould,IND,WR,Half-PPR,4.64
Anthony Gould,IND,WR,PPR,5.99
Kyle Trask,TB,QB,Standard,4.59
Kyle Trask,TB,QB,Half-PPR,4.59
Kyle Trask,TB,QB,PPR,4.59
Jimmy Horn Jr.,CAR,WR,Standard,3.38
Jimmy Horn Jr.,CAR,WR,Half-PPR,4.58
Jimmy Horn Jr.,CAR,WR,PPR,5.78
Velus Jones Jr.,NO,RB,Standard,3.61
Velus Jones Jr.,NO,RB,Half-PPR,4.56
Velus Jones Jr.,NO,RB,PPR,5.51
Isaiah Williams,CIN,WR,Standard,3.3
Isaiah Williams,CIN,WR,Half-PPR,4.3
Isaiah Williams,CIN,WR,PPR,5.3
Clayton Tune,ARI,QB,Standard,4.14
Clayton Tune,ARI,QB,Half-PPR,4.14
Clayton Tune,ARI,QB,PPR,4.14
Zach Davidson,BUF,TE,Standard,3.1
Zach Davidson,BUF,TE,Half-PPR,4.05
Zach Davidson,BUF,TE,PPR,5
Jamari Thrash,CLE,WR,Standard,2.69
Jamari Thrash,CLE,WR,Half-PPR,3.94
Jamari Thrash,CLE,WR,PPR,5.19
Avery Williams,PHI,RB,Standard,2.64
Avery Williams,PHI,RB,Half-PPR,3.69
Avery Williams,PHI,RB,PPR,4.74
Darrynton Evans,BUF,RB,Standard,3.04
Darrynton Evans,BUF,RB,Half-PPR,3.51
Darrynton Evans,BUF,RB,PPR,3.99
Isaiah Neyor,SF,WR,Standard,2.4
Isaiah Neyor,SF,WR,Half-PPR,3.4
Isaiah Neyor,SF,WR,PPR,4.4
Marcus Yarns,NO,RB,Standard,2.8
Marcus Yarns,NO,RB,Half-PPR,3.3
Marcus Yarns,NO,RB,PPR,3.8
James Mitchell,CAR,TE,Standard,2.38
James Mitchell,CAR,TE,Half-PPR,3.28
James Mitchell,CAR,TE,PPR,4.18
Steven Sims Jr.,SEA,WR,Standard,2.4
Steven Sims Jr.,SEA,WR,Half-PPR,3.25
Steven Sims Jr.,SEA,WR,PPR,4.1
Dylan Laube,LV,RB,Standard,2.35
Dylan Laube,LV,RB,Half-PPR,3.1
Dylan Laube,LV,RB,PPR,3.85
Danny Gray,PHI,WR,Standard,2.33
Danny Gray,PHI,WR,Half-PPR,3.08
Danny Gray,PHI,WR,PPR,3.83
Laviska Shenault Jr.,BUF,WR,Standard,2.08
Laviska Shenault Jr.,BUF,WR,Half-PPR,3
Laviska Shenault Jr.,BUF,WR,PPR,3.93
Terrell Jennings,NE,RB,Standard,2.44
Terrell Jennings,NE,RB,Half-PPR,2.91
Terrell Jennings,NE,RB,PPR,3.39
Keilan Robinson,PHI,RB,Standard,2.35
Keilan Robinson,PHI,RB,Half-PPR,2.85
Keilan Robinson,PHI,RB,PPR,3.35
Jack Stoll,NO,TE,Standard,1.88
Jack Stoll,NO,TE,Half-PPR,2.75
Jack Stoll,NO,TE,PPR,3.62
LaJohntay Wester,BAL,WR,Standard,1.85
LaJohntay Wester,BAL,WR,Half-PPR,2.6
LaJohntay Wester,BAL,WR,PPR,3.35
Braxton Berrios,HOU,WR,Standard,1.55
Braxton Berrios,HOU,WR,Half-PPR,2.3
Braxton Berrios,HOU,WR,PPR,3.05
Tyler Badie,DEN,RB,Standard,1.92
Tyler Badie,DEN,RB,Half-PPR,2.3
Tyler Badie,DEN,RB,PPR,2.67
David Martin-Robinson,TEN,TE,Standard,1.28
David Martin-Robinson,TEN,TE,Half-PPR,1.78
David Martin-Robinson,TEN,TE,PPR,2.28
Trayveon Williams,NE,RB,Standard,1.21
Trayveon Williams,NE,RB,Half-PPR,1.71
Trayveon Williams,NE,RB,PPR,2.21
Donovan Edwards,NYJ,RB,Standard,1.4
Donovan Edwards,NYJ,RB,Half-PPR,1.65
Donovan Edwards,NYJ,RB,PPR,1.9
Raheim Sanders,LAC,RB,Standard,1.4
Raheim Sanders,LAC,RB,Half-PPR,1.65
Raheim Sanders,LAC,RB,PPR,1.9
Phil Mafah,DAL,RB,Standard,1.4
Phil Mafah,DAL,RB,Half-PPR,1.65
Phil Mafah,DAL,RB,PPR,1.9
Corey Kiner,SF,RB,Standard,1.4
Corey Kiner,SF,RB,Half-PPR,1.65
Corey Kiner,SF,RB,PPR,1.9
Chris Moore,WAS,WR,Standard,0.7
Chris Moore,WAS,WR,Half-PPR,0.95
Chris Moore,WAS,WR,PPR,1.2
Equanimeous St. Brown,SF,WR,Standard,0.74
Equanimeous St. Brown,SF,WR,Half-PPR,0.94
Equanimeous St. Brown,SF,WR,PPR,1.14
